generation,best_in_population,mean_fitness,global_best_fitness
146,933.235000,-310.220949,933.235000
147,933.235000,-179.049033,933.235000
148,933.235000,-268.198293,933.235000
149,933.235000,-364.101366,933.235000
150,933.235000,-309.145479,933.235000
151,933.235000,-189.527843,933.235000
152,933.235000,-198.114147,933.235000
153,933.235000,-188.506460,933.235000
154,933.235000,57.406485,933.235000
155,933.235000,-153.874558,933.235000
156,933.235000,-181.167803,933.235000
157,933.235000,-192.901139,933.235000
158,933.235000,-270.872324,933.235000
159,933.235000,-118.470366,933.235000
160,933.235000,-275.941813,933.235000
161,933.235000,-363.438386,933.235000
162,933.235000,-413.424144,933.235000
163,933.235000,-361.468272,933.235000
164,933.235000,-414.524207,933.235000
165,933.235000,-502.625178,933.235000
166,933.235000,-351.742305,933.235000
167,933.235000,-147.469885,933.235000
168,933.235000,-294.727518,933.235000
169,933.235000,-388.781253,933.235000
170,933.235000,-442.015677,933.235000
171,933.235000,-355.464888,933.235000
172,933.235000,-378.759523,933.235000
173,933.235000,-202.266471,933.235000
174,933.235000,-454.458743,933.235000
175,933.235000,-229.812364,933.235000
176,933.235000,-138.432536,933.235000
177,933.235000,-108.797565,933.235000
178,933.387333,-301.584737,933.387333
179,933.387333,-251.261415,933.387333
180,933.387333,-359.375023,933.387333
181,933.387333,-194.033271,933.387333
182,933.387333,-214.499760,933.387333
183,933.387333,-357.767942,933.387333
184,933.387333,-305.811240,933.387333
185,933.387333,-423.723208,933.387333
186,933.387333,-221.580536,933.387333
187,933.387333,-315.508130,933.387333
188,933.387333,-308.019455,933.387333
189,933.387333,-57.014789,933.387333
190,933.387333,-183.164659,933.387333
191,933.387333,-304.599850,933.387333
192,933.387333,-357.211302,933.387333
193,933.387333,-213.512269,933.387333
194,933.387333,-295.762456,933.387333
195,933.387333,-480.966001,933.387333
196,933.387333,-396.291870,933.387333
197,933.387333,-258.060540,933.387333
198,933.387333,-265.893718,933.387333
199,933.387333,-253.055691,933.387333
200,933.387333,-308.945379,933.387333
201,933.387333,-368.223015,933.387333
202,933.387333,-380.237704,933.387333
203,933.387333,-211.571153,933.387333
204,933.387333,-131.151780,933.387333
205,933.387333,-231.018919,933.387333
206,933.387333,-199.182337,933.387333
207,933.387333,-25.166323,933.387333
208,933.387333,-180.503797,933.387333
209,933.387333,-283.031290,933.387333
210,933.387333,-252.744640,933.387333
211,933.669000,-248.884510,933.669000
212,933.669000,-393.310435,933.669000
213,933.669000,-367.829991,933.669000
214,933.669000,-276.318696,933.669000
215,933.669000,-127.890399,933.669000
216,933.669000,-394.747059,933.669000
217,933.669000,-354.427508,933.669000
218,933.669000,-199.560513,933.669000
219,933.669000,-415.832430,933.669000
220,933.669000,-303.075845,933.669000
221,933.669000,-272.370839,933.669000
222,933.669000,-246.883165,933.669000
223,933.703333,-224.614955,933.703333
224,933.703333,-326.555622,933.703333
225,933.703333,-225.714481,933.703333
226,933.703333,-324.992596,933.703333
227,933.703333,-240.001480,933.703333
228,933.703333,-291.498079,933.703333
229,933.703333,-322.030719,933.703333
230,933.703333,-283.420024,933.703333
231,933.703333,-326.166152,933.703333
232,933.703333,-289.327353,933.703333
233,933.703333,-497.506669,933.703333
234,933.703333,-379.274666,933.703333
235,933.703333,-400.393496,933.703333
236,933.703333,-354.023496,933.703333
237,933.703333,-284.203644,933.703333
238,933.703333,-358.751275,933.703333
239,933.703333,-412.174103,933.703333
240,933.703333,-281.187825,933.703333
241,933.703333,-429.573302,933.703333
242,933.703333,-261.239227,933.703333
243,933.703333,-331.509363,933.703333
244,933.703333,-384.852548,933.703333
245,933.703333,-357.870629,933.703333
246,933.703333,-392.646925,933.703333
247,933.703333,-397.379336,933.703333
248,933.703333,-367.515922,933.703333
249,933.703333,-372.422969,933.703333
250,933.703333,-384.432361,933.703333
251,933.703333,-469.463067,933.703333
252,933.703333,-324.890212,933.703333
253,933.703333,-275.418062,933.703333
254,933.703333,-216.654829,933.703333
255,933.703333,-318.751463,933.703333
256,933.703333,-122.755715,933.703333
257,933.703333,-388.824641,933.703333
258,933.703333,-377.326781,933.703333
259,933.703333,-311.386189,933.703333
260,933.703333,-368.525571,933.703333
261,933.703333,-401.509270,933.703333
262,933.703333,-457.246523,933.703333
263,933.703333,-193.283425,933.703333
264,933.703333,-87.990348,933.703333
265,933.703333,-174.885713,933.703333
266,933.703333,-271.512894,933.703333
267,933.703333,-422.498137,933.703333
268,933.703333,-547.081022,933.703333
269,933.703333,-436.569620,933.703333
270,933.703333,-434.243544,933.703333
271,933.703333,-428.364090,933.703333
272,933.703333,-285.865764,933.703333
273,933.703333,-266.526228,933.703333
274,933.703333,-276.004073,933.703333
275,933.703333,-131.946001,933.703333
276,933.703333,-163.433563,933.703333
277,933.703333,-263.961486,933.703333
278,933.703333,-268.892517,933.703333
279,933.703333,-357.667219,933.703333
280,933.703333,-397.728713,933.703333
281,933.703333,-231.539260,933.703333
282,933.703333,-318.571760,933.703333
283,933.703333,-247.874263,933.703333
284,933.703333,-550.766143,933.703333
285,933.703333,-519.353852,933.703333
286,933.703333,-166.736983,933.703333
287,933.703333,-324.459794,933.703333
288,933.703333,-211.425577,933.703333
289,933.703333,-384.955872,933.703333
290,933.703333,-366.258823,933.703333
291,933.703333,-429.400799,933.703333
292,933.703333,-236.263486,933.703333
293,933.703333,-495.390304,933.703333
294,933.703333,-246.761276,933.703333
295,933.703333,-318.951627,933.703333
296,933.703333,-272.744150,933.703333
297,933.703333,-391.439693,933.703333
298,933.703333,-616.648074,933.703333
299,933.703333,-317.178631,933.703333
300,933.703333,-237.777757,933.703333
301,933.703333,-77.662190,933.703333
302,934.414333,-212.496008,934.414333
303,934.414333,-383.051615,934.414333
304,934.414333,-337.846008,934.414333
305,934.414333,-363.426137,934.414333
306,934.414333,-418.852224,934.414333
307,934.414333,-457.215171,934.414333
308,934.414333,-361.927150,934.414333
309,934.414333,-303.389931,934.414333
310,934.414333,-222.719953,934.414333
311,934.414333,-173.373324,934.414333
312,934.414333,-365.981273,934.414333
313,934.414333,-288.209203,934.414333
314,934.414333,-232.647992,934.414333
315,934.414333,-199.808106,934.414333
316,934.414333,-236.963285,934.414333
317,935.271333,-344.074807,935.271333
318,935.477667,-232.992393,935.477667
319,935.477667,-289.381589,935.477667
320,935.477667,-148.131293,935.477667
321,935.477667,7.212733,935.477667
322,935.477667,10.361206,935.477667
323,935.477667,144.432389,935.477667
